as a result	結果として
tiny	ごく小さい
election	選挙
charm	魅力
palm	手のひら
log	丸太
advertise	宣伝する、広告する
advertising	広告
factor	要因
curious	好奇心が強い
pitch	投げる
excessive	過度の、極端な
war	戦争
apparently	明らかに
boundary	境界
procedure	手続き、手順
consumer	消費者
satisfactory	満足のいく
echo	こだま
essay	論文、小説
extension	拡張、延長
atomic	原子の
sigh	ため息をつく
sophisticated	洗練された
considerable	かなりの、重要な
explain	を説明する
bet	賭ける
plant	植物
scatter	まき散らす
largely	主として
rear	後部の
bond	拘束、束縛
authority	権威、権力
medium	中間
adapt	に適合させる
resist	抵抗する
folk	人々
poet	詩人
resolve	解決する、を決心する
detail	詳細
priority	優先度、優先権
false	誤った
prisoner	囚人
apparent	外見上の、明白な
lab	研究室
squeeze	絞る、押しつぶす
status	状態、身分
pension	年金
eliminate	を取り除く
patch	当て布、布切れ
observation	観察
dozen	12の
airline	航空会社
flow	流れる
independent	独立した
president	社長、大統領
socially	社会的に
settle	決着させる、解決する
ideal	理想
address	住所
pray	祈る
ray	光線、放射線
maker	製造元
combat	戦闘
ministry	省庁
explosion	爆発
cure	治療する
public	公共の
reach	到着する
impact	影響、衝撃
union	統合、一致
author	著者
presence	存在
incorporate	合体させる
rent	家賃
radical	急進的な、抜本的な
economics	経済学
trust	信頼、信用
virus	ウイルス
party	政党
pupil	生徒
neighborhood	近所
concern	心配する、に関係する
meal	食事
neighbor	隣人
civil	市民の
counter	に対抗する
suicide	自殺
protein	タンパク質
poll	投票
mutual	相互の
vote	投票する／投票権
attend	出席する、付き添う
regret	後悔する／後悔、遺憾
academic	学術の、大学の
supreme	最高の
comfortable	心地の良い、快適な
involvement	関与、関わり合い
crowd	群衆
emotional	感情の、情緒の
revenue	収益、所得
quit	やめる
unusual	珍しい、異常な
remember	覚えている、を思い出す
guilty	有罪の
fascinate	魅了する
trigger	引き金
distinction	区別、相違
transform	を変える
transfer	を移す
order	命令
hide	隠す、隠れる
solid	固い、固形の
plain	簡素な、わかりやすい
ease	容易さ、気楽さ
stretch	広がる
amendment	修正
frighten	怖がらせる
heel	かかと
perceive	知覚する
rational	理性的な、合理的な
faith	信頼、信用
conviction	信念
agent	代理人
rural	田舎の
pioneer	開拓者
humanity	人間、人間性
within	以内で
respect	尊敬
sweep	掃く
display	展示する、陳列する
own	自身の
hang	つるす、掛ける
transition	遷移、変遷
decision	決定、結論
aware	気づいている、知っている
reward	褒美、報酬
uncomfortable	心地が悪い
civilized	発達した文明をもつ、教養の高い
aggressive	攻撃的な
infant	乳児
means	手段、方法
useless	役に立たない、むだな
briefly	簡単に、手短に
site	場所
nature	自然
dialect	方言
genius	天才
conduct	行為
demonstrate	実証する、証明する
disappoint	がっかりさせる
circuit	回路、巡回
regime	政権
awake	目を覚ましている
useful	役に立つ
entertainment	娯楽
express	表現する、を言い表す
sacrifice	犠牲
devise	考え出す、工夫する
intimate	親密な
seldom	めったに～しない
criticism	批判
price	値段
insect	昆虫
painful	苦痛な、痛い
invisible	見えない
present	現在の、出席して
somehow	どうにか
agreement	同意
although	だけれども
advocate	提唱する
govern	統治する
inspector	検査官、監査人
essentially	本質的に
severe	厳しい、厳格な
convenient	都合が良い、便利な
due	期限の、納期の
coast	海岸、沿岸地域
extreme	極端な
relief	安堵、軽減
edge	端縁
vice	副担当の、代理の
national	国の、国民の
vulnerable	傷つきやすい
evolution	進化、発展
slight	かすかな、わずかの
rely	頼る
globe	地球
plot	話の筋、策略
prompt	即座の
electronic	電子の
advice	助言
industrialize	産業化する
select	を選び出す
carbon	炭素
sudden	突然の
deliberately	故意に、慎重に
significant	重要な
employ	雇う
latest	最新の
tough	頑強な、丈夫な
tide	潮
asset	資産
origin	起源
popular	人気のある
colony	植民地
distribution	分布、配分
constitution	憲法、構成、組織
increasingly	ますます
necessarily	必然的に
restriction	制限
drug	麻薬、薬
rapid	急速な
possibly	ひょっとすると
mortgage	抵当、担保
complain	不満を言う
county	州
supporter	支援者
federal	連邦の
fur	毛皮
commercial	商業の
aggression	攻撃性、侵略
entire	全体の、全部の
odd	変な
basis	土台、根拠
protect	を守る、保護する
confirm	確認する、確かめる
broad	広い
prior	優先の、前の
consequence	結果、影響
pretty	かなり
manufacturer	製造元、製造業者
exhibition	展示
cruise	巡航する
extraordinary	普通でない、異常な
leisure	余暇
multiple	掛け算する
variation	変化
suit	適合する
teenager	十代
bare	裸の
minority	少数派
rapidly	素早く
brick	れんが
lawn	芝生
consist	成り立つ
duty	職務、関税
period	期間
comprehensive	包括的な、理解力のある
achievement	達成
sum	合計
seem	の様に見える、思われる
implement	実施する／道具、手段
interior	内部の
calculate	計算する
dominate	を支配する
obligation	義務
joy	喜び、歓喜
throat	のど
imagination	想像
democrat	民主主義者
chapter	章、区切り
hell	地獄
lean	傾く、寄りかかる
pan	フライパン
blast	爆風、突風
exist	存在する、実在する
politician	政治家
industrial	産業の
merchant	商人
focus	焦点
actual	現実の
urge	強く促す、早める
nerve	神経
mostly	主に、ほとんど
criminal	犯罪の
passage	一節
logic	論理
arise	起こる、現れる
whatever	何でも
rebel	反逆者
encounter	遭遇する
depress	落胆させる
widely	広範囲に
expansion	拡張、拡大
existence	存在
peculiar	奇妙な、変わった
strict	厳しい、厳格な
firm	しっかりした、堅い
desperate	やけくその
sort	種類
personally	個人的に、本人自ら
universe	宇宙
blood	血、血液
institution	制度、設立
facility	施設、手洗い、便利さ
crew	乗組員
index	索引
unpleasant	不愉快な
etc	などなど
elementary	初級の
viewer	観察者、視聴者
spiritual	精神の
conference	会議
freeze	凍る
debate	討論
swallow	を飲み込む
convey	伝える、運ぶ
honor	名誉、特権
traffic jam	交通渋滞
concrete	具体的な
laboratory	実験室、研究所
capable	可能性がある、才能のある
treasure	宝、財産
reserve	を取っておく
phenomenon	現象
chest	たんす、チェスト
bite	を噛む、かじる
crop	収穫物、作物
rub	こする、さする
shortly	まもなく
term	期間、専門用語
distance	距離
right	正しい
inclined	傾いた、（し）がちで
attract	引きつける
headquarters	本部
highlight	目立たせる、最も明るい部分
owe	を借りている
accustomed	慣れている、いつもの
portion	部分、一部分
mad	狂った
buyer	買い手
till	まで
destruction	破壊
injury	怪我、負傷
confusion	混乱
employer	雇用者
proper	適切な、ふさわしい
nervous	神経質な、びくびくして
companion	仲間
psychological	心理的な
impression	印象
confront	直面させる、に立ち向かう
path	小道
suppress	抑える、抑圧する
decline	断る、拒否する
truth	真実
intellectual	知的な
jail	刑務所、拘置所
cease	やめる
pile	積み重ね
cover	を覆う、隠す
finance	財政
cast	投げる
distinct	他と違った、別の
conservation	保全
prosecutor	検察官
initially	最初は
behalf	代わって、誰かの代わりに
region	地域
prefer	より好む
perspective	見解、見通し
income	所得
identical	同一の、全く同じの
impressive	印象的な
polite	礼儀正しい
executive	実行する
rough	ごつごつした、粗い
proposed	提案した
province	州
seize	つかむ
personality	人格、性格
stake	くい
goal	目標、ゴール
girlfriend	女友達
forward	前方へ
narrow	幅が狭い
shortage	不足、欠乏
apart	離れて
emphasis	強調
shooting	撮影、射撃
inhabitant	居住者
recession	不況、後退
passive	受身の、消極的な
subtle	微妙な
competitive	競争力のある、競争による
clothing	衣料品
wise	賢い
pursuit	追跡
settlement	移住定住
partnership	共同、提携
expression	表現
dispute	争議／論争する
contrary	反対の
expand	拡大する、広がる
intelligence	知能、知性
divorce	離婚／離婚する
compound	調合する
defeat	負かす、打ち破る
assumption	想定、仮説
sustain	保持する、続けてする
initiative	主導権、独創力
bow	お辞儀する
examination	試験
confidence	自信、信頼
yield	産出する、生ずる
firmly	堅く、確固として
engaged	に従事して、忙しくして
impulse	衝動
destroy	を破壊する
steady	着実な、安定した
element	要素、元素
dealer	販売業者
mysterious	不可解な、不思議な
comparison	比較
communist	共産主義者
republic	共和国
expose	明らかにする
department	部門
explanation	説明
isolate	を孤立させる、隔離する
proceed	進む、始める
explore	探索する、調査する
regarding	に関して
stupid	馬鹿な、愚かな
alive	生きている
dramatic	劇的な
potential	潜在的な
approval	承認
dare	思い切ってする
activist	行動主義者
effectively	効果的に、事実上
strain	張る
guess	推測する
cash	現金
asleep	眠っている
mass	塊、大部分
latter	後者の、後半の
absolutely	絶対に
intention	意図
science	科学
split	割る、裂く
diminish	減らす、小さくする
positive	自信のある
remote	遠い
collect	集める
equivalent	等しい
bear	我慢する、を圧迫する
empire	帝国
several	幾つかの
navy	海軍
significance	重要性
practical	実用的な
shame	恥
agriculture	農業
leap	跳ぶ、はねる
empty	何も入っていない
insight	洞察、洞察力
verbal	言葉の
unit	単位
evil	邪悪な
newly	新たに、最近
automobile	自動車
university	大学
publication	出版物
past	過去の、終わった
contrast	対照
weather	天候、天気
lack	不足、欠乏
brief	短い、短時間の
cop	警官
eager	強く望んでいる
crown	王冠
observer	観察者
nod	うなずく、会釈する
investment	投資、出資
scientific	科学の
constitute	構成する
moral	道徳の、道徳的な
voter	投票者
remarkable	目立った
mere	単なる
belong	に属する
pursuit	追い求める、追跡する
totally	完全に、全く
patient	我慢強い、患者
match	試合
laughter	笑い
survival	生存
fellow	仲間
towards	の方へ
aircraft	航空機
legislation	立法
wherever	どこでも
tax	税金
nuclear	核の
internal	内部の
enterprise	会社、事業
initial	最初の
division	分割
parallel	平行の
preference	好み
consideration	考慮、考察
expectation	期待、予想
literally	文字通りに
grave	墓
immigrant	移民
found	設立する
terror	恐怖
suitable	好都合な
reference	参照
fabric	織物
length	長さ
deny	を否定する
satellite	衛星
steadily	着実に
fundamental	基本的な、基礎の
strategy	戦略
virtually	実質的に
partly	部分的に
grasp	つかむ
undergo	経験する
congress	会議
given	与えられた
traffic	交通、運輸
mainly	主に、もっぱら
cave	ほら穴
fancy	空想、想像
wisdom	知恵、賢明さ
blink	瞬きをする
scholar	学者
rid	を取り除く
privilege	特権
method	方法
establishment	設立
shrug	肩をすくめる
aloud	声に出して
continue	をし続ける
master	主人、支配人
rating	評価
profession	職業
flee	逃げる
administration	機関、運営
die	死ぬ
throughout	至るところに、終始
shit	大便
tradition	伝統
typical	典型的な
weigh	重さがある、の重さを量る
unlikely	起こりそうにない
weight	重さ、体重
normally	通常は、普通に
retain	保持する、持ち続ける
overwhelming	圧倒的な
promotion	昇進、進級
massive	巨大な、大規模な
desirable	望ましい
stare	じっと見つめる
application	適用
extra	余分の、特別の
fat	太った
gene	遺伝子
contract	契約
recovery	回復
court	裁判所、中庭
analysis	分析
peer	同僚、仲間
regardless	にも関わらず、不注意で
fire	首にする、火をつける／火、火事
entitle	と題する、権利を与える
secretary	秘書
pit	くぼみ
critical	極めて重要な、批判的な
crisis	危機、難局
flood	洪水
wildlife	野生動物
wrong	間違い、誤った
wear	身につけている
earn	稼ぐ
import	輸入する
retirement	退職、引退
stream	流れ
species	種、種族
discuss	について議論する、検討する
coalition	連立、連合
generate	発生させる、起こす
alter	を変える
absolute	絶対的な、完全な
bury	埋める
deserve	値する
contribute	に寄付する、捧げる
implication	含み、裏の意味
calm	穏やかな、静かな
constantly	常に
famous	有名な
precisely	正確に
parking	駐車場
ad	広告
commander	司令官
rise	上がる
gain	得る
proud	自慢に思って、誇らしげな
lose	失う
editor	編集者
killer	殺人者
material	材料、原料
breast	胸部
appetite	食欲
flavor	風味、味
aim	ねらいをつける
preparation	準備
investigation	調査
storage	保管
investor	投資家
whole	全部の
regulation	規制、規定
existing	既存の
fate	運命、宿命
accuse	告発する
cope	対処する
racial	人種の、民族の
judge	を判断する／裁判官
disagree	反対する
release	解き放つ
literary	文学の
maybe	たぶん、おそらく
alliance	同盟、協定
thought	考えること、意見
comedy	喜劇
reply	返答する
gay	同性愛の
definite	明確な、限定的な
attempt	試み
commission	手数料、委任状
except	を除いて
height	高さ
favorite	特に好きな
harmful	有害な
object	物体
dull	面白みのない、鈍い
context	文脈
fold	折りたたむ
suggestion	提案
steam	蒸気、水蒸気
extensive	広範な
mayor	市長、町長
funding	資金調達
operator	操作者
universal	普遍的な、万能の
exposure	暴露、さらすこと
pose	姿勢、ポーズ
headline	見出し、表題
bang	ドンドン叩く／ズドンという音
likely	起こりそうな
necessity	必要性
financial	財政の
resistance	抵抗
grammar	文法
capital	資本、首都
intend	意図する
alike	よく似た
passenger	乗客
peak	頂上
educate	教育する、訓練する
closely	綿密に
exactly	正確に
moment	瞬間、瞬時
extend	延びる、延長する
employee	従業員
remaining	残りの
negative	否定の
acknowledge	を認める
burst	破裂する
portrait	肖像画
possibility	可能性、実現性
absence	不在、欠席
primary	最初の
inferior	劣った
interpretation	解釈、説明
evident	明らかな
tribe	部族
maintenance	維持、保全
female	雌の、女性の
depending	依存している
so-called	いわゆる
accept	受け入れる
enthusiasm	情熱、熱狂
joint	継目、関節
assessment	評価、査定
evolve	進化する
occupy	占める
mention	言及する
profound	深い、心からの
significantly	かなり
agree	同意する
assure	保証する
dump	投げ捨てる
difference	違い、差分
coal	石炭
drain	排出させる、排水をする
suspect	疑う、だと思う
gaze	凝視する
sure	確信して、自信をもって
steel	鋼鉄
exclude	除く
surgery	手術、外科
add	足し算する、合計する
load	積む／積み荷
inevitable	避けられない
account	銀行口座
as a matter of fact	実際のところ
commodity	商品
grace	恵み
distort	歪める
arctic	北極地方
obsession	強迫観念
obey	従う
rule out	除外する
manipulate	操る
sue	訴える
get rid of	を取り除く
Buddhist	仏教徒
as far as I know	私の知る限り
put off	延期する
extract	抜き取る
as if	まるで～かのように
indigenous	原産の
slavery	奴隷制度
avenue	大通り
destination	目的地、行き先
designate	選定する
domain	領地
result in	結果として、結果～になる
infrastructure	基盤
provoke	挑発する
sole	単独の
convict	有罪とする
apply for	を申し込む
fatigue	疲労
precede	先行する
decent	まともな
utter	完全な
look over	見渡す
stern	厳格な
breed	を飼育する、繁殖する
no longer	もはや～でない
one by one	一つずつ、一つ一つ
forecast	予測する
evidence	証拠
otherwise	さもなければ
require	を必要とする、を要求する
architect	建築家
lessen	減らす
tumor	腫瘍
dormitory	寮、大部屋
suffer from	で苦しむ、悩まされる
thrust	突き上げる
handout	配布物
addicted	癖になった
kindergarten	幼稚園
reasonable	理性のある、分別のある
phenomenon	現象
accommodate	収容する
obscure	不明瞭な
resign	辞任する
grocery	食料品
prejudice	先入観
souvenir	お土産
bring up	持ち出す
supervisor	上司
transaction	取引
attribute	に帰する
stiff	硬い
put up with	に耐える
induce	誘発する
withstand	耐える
penetrate	貫く
fraction	分数
conceal	隠す
retail	小売り
isolation	隔離
before long	間もなく
biology	生物学
in terms of	に関して、の点から
aisle	通路
due to	が原因で
toll	料金
struggle	もがき苦しむ
subsequent	その後の
soak	浸す
deal with	に対処する
supplement	補足、追加
drought	干ばつ
rely on	に頼る、を当てにする
sanitation	衛生
conform	従う
at most	多くとも、せいぜい
scarce	乏しい
trivial	取るに足らない
thorough	徹底した
urge	強く促す、早める
predator	捕食者
beverage	飲料
emperor	皇帝、天皇
soar	舞い上がる
embarrassed	恥ずかしい
and so on	などなど
famine	食料不足
secondhand	中古の
bureau	事務局、たんす
extinct	絶滅した
on duty	勤務時間中で、当番の
roast	あぶり焼きにする
along with	に沿って
make fun of	を笑いものにする
conquer	征服する
come up with	を思いつく、を考え出す
converse	逆の
revise	改訂する
lawyer	弁護士、法律家
dip	少し浸す
look into	を調べる
optimistic	楽観的な
neat	きちんとした
refer	言及する
expire	期限切れの
imperial	帝国の
hierarchy	階層
erosion	侵食
evoke	呼び起こす
chemistry	化学
habit	習慣、慣習
vanish	消える
medieval	中世の
earnest	真剣な
get by	どうにか切り抜ける
cope with	に対処する
savage	獰猛な
spur	刺激
bleed	出血する
eyesight	視界
apologize	謝る、謝罪する
concentrate	集中する
utilize	利用する
fame	名声
accommodation	宿泊施設
donate	を寄付する、を寄贈する
starve	飢える
in spite of	にも関わらず
organ	臓器
domestic	国内の、自国の
discrimination	差別／差別的な
bully	いじめっ子
bake	焼く、焼成する
ambiguous	あいまいな
integrate	統合する
particle	分子
magnificent	壮大な
pastime	娯楽
enrich	豊かにする
refund	払い戻す
germ	細菌
rumor	うわさ
run out of	を使い果たす、消耗する
descend	下降する
irrelevant	無関係な
endow	寄付する
fingerprint	指紋
vending machine	自動販売機
compile	編集する
compassion	思いやり
ancestor	祖先、先祖
in case	万一に備えて
think over	熟考する、よく考える
according to	によれば、に基づいて
by degrees	徐々に
sorrow	悲しみ
approve	承認する
undertake	引き受ける
compliment	褒め言葉
hang up	中断する
overwhelm	圧倒する
confess	を打ち明ける、白状する
break out	勃発する
watch out	気を付ける
pull off	もぎ取る、成功を掴む
awkward	ぎこちない
tame	飼いならす
appropriate	適当な、充当する
try on	試着する
adolescent	思春期の
carry out	を成し遂げる
ambition	野望
scholarship	奨学金
get along with	とうまくやっていく
come across	を横切る、出くわす
remain	のままである、残る
emotion	感情、情熱
emergency	緊急事態、緊急
spouse	配偶者
call off	を中止する
be willing to	する気のある
shrink	縮小する
molecule	分子
document	書類
nap	昼寝
instead of	のかわりに
assemble	組み立てる
injection	注射、注入
endanger	危険にさらす
basin	盆地
suspend	つるす
stem	幹
hand in	を提出する
be engaged in	に従事している
burden	負担、重荷
a couple of	少数の
be well off	裕福な
outcome	結果
retrieve	取り戻す
in shape	健康に
make sense	意味をなす
tidy	きちんとした
reveal	明らかにする
consist of	から成り立っている
afterwards	その後
even if	たとえ～だとしても、仮に～であっても
sewage	下水
abolish	廃止する
ugly	醜い
get over	を乗り越える、克服する
modest	控えめな
bloom	咲く
holy	神聖な、聖なる
assign	割り当てる
architecture	建築
sparkle	きらめき
How come	どうして～
at times	時々
fragment	断片
fare	運賃
prey	獲物
devastate	荒廃させる
show up	現れる
in contrast to	とは対照的に
nutrition	栄養、栄養素
low-income	低収入の
leak	漏れる
exert	行使する
protocol	儀礼
toxic	有毒な
documentary	事実を記録した
acute	鋭角の
prohibit	禁じる
equality	平等さ
organic	無農薬の
formula	式
exclusive	閉鎖的な
sincere	誠実な
vow	誓い
in charge of	の担当をして
intuition	直感
laptop	ノートパソコン
outstanding	並外れた、目立った
tissue	細胞組織、薄い織物
by means of	によって、を用いて
layer	層
sit up	まっすぐ座る
explode	爆発する、破裂する、激増する
irrigation	灌漑
refrain from	を控える、を遠慮する
a bunch of	たくさんの、多量の
altitude	高度
humid	湿っぽい、湿度の高い
hemisphere	半球
salty	塩辛い
custom	習慣、慣習
award	賞
billion	10億
ashamed	恥じて、恥ずかしくて
definitely	もちろん、確かに
do away with	廃止する
litter	ゴミ
stare at	をじっと見つめる
invade	侵略する
beat	打ち負かす
stubborn	頑固な
settle down	定住する
harsh	厳しい
prolong	延長する
humble	謙虚な
reinforce	強化する
fragile	もろい
refuge	避難
cut down	を減らす、削減する
bold	勇敢な
breeze	そよ風
lately	最近
tuition	授業料、学費
indicate	指し示す
vivid	鮮やかな
out of stock	在庫切れ
comprehend	理解する
accumulate	蓄積する
summon	召喚する
acquire	を身につける
pedestrian	歩行者
restrain	抑える
