diplomatic	外交の、外交上の
connoisseur	鑑定家、評価家
masculinity	男らしさ、男性らしさ
glee	歓喜、喜び
pseudonym	偽名、偽の名前
bane	悩みの種、問題点
goad	突き棒、棒
abbey	修道院、僧院
wobble	ぐらぐらする、揺れる
opus	作品
quip	警句、警告の言葉
swoon	気絶、失神
bring out	を引き出す、引き起こす、招く
hub	中心部、核心
plume	飾り羽根、装飾用の羽
feud	確執、対立
cornerstone	礎石、基礎
petal	花弁、花びら
pass on	通り過ぎる、通る
screech	金切り声、高い叫び声
consolation	慰め、励まし
twitch	ぐいと引く、強く引っ張る
affirmation	断言、明言
ramification	分岐、分岐点
go over	を繰り返す、再び行う
entrepreneurship	起業家精神、創業者の心
entourage	側近、近侍
heresy	異説、違う意見
precursor	前触れ、予告
maverick	異端者、外道
misgiving	懸念、心配
sit in	座り込む、座って抗議する
nausea	吐き気、むかつき
overture	序曲、前奏曲
place limitation on	に制限を加える、限界を設ける
abdomen	腹部、腹の部分
down payment	頭金、手付金
anemia	貧血症、赤血球不足
tip over	ひっくり返る、転覆する
clean out	を一掃する、取り除く
contrition	悔み、後悔
specter	妖怪、妖精
ferocity	凶暴性、獰猛さ
stitch	一編み、一つ編み
law enforcement	法の執行、法の適用
rigor	厳格、厳重
tad	ちびっ子、子供
take up	を取り上げる、没収する
gall	憎しみ、胆汁
caveat	警告、警戒
fang	牙、犬歯
trade in	を下取りに出す、下取りにする
mason	石工、石匠
sheen	光沢、輝き
succumb	屈する、服する
archipelago	群島、諸島
trudge	とぼとぼ歩く、のろのろ歩く
incompetence	無能、無力
asteroid	小惑星、アステロイド
broom	ほうき、掃除道具
porcelain	磁器、陶磁器
torso	胴体、胴部
repercussion	反響、反応
slouch	前かがみ、前を向く
milieu	環境、周りの状況
communique	公式発表、公式通知
in search of	を探して、探索して、探る
homage	敬意、尊敬
hump	こぶ、隆起
efficacy	効能、効果
ballpark	概算、おおよその計算
plaza	大広場、広場
clout	影響力、影響
stay off	から離れる、距離を取る
excursion	遠足、日帰り旅行
hoax	悪ふざけ、いたずら
rapprochement	和睦、平和の協定
vindicate	疑いを晴らす、疑念を取り除く
anesthesia	麻酔、麻酔薬
mourning	喪中、服喪中
barracks	兵舎、兵営
wield	振り回す、使う
lift off	離陸する、飛び立つ
crescent	三日月、新月
assortment	詰め合わせ
enigma	不可解なこと、理解不能なこと
sabotage	妨害行為、邪魔
excavation	発掘、探し出す
get away with	を避ける、からやり過ごす
pick through	を探る、選りすぐる
trip up	を惑わす、つまづかせる
gazette	官報、公報
casket	小箱、小さな容器
talk up	を大袈裟にほめる、過大に評価する
mirage	蜃気楼、海市
put in	取り付ける、取り組む
handout	配布物、配布資料
in danger of	の危険がある、リスクがある
bribe	賄賂
pantry	食料品室、食品庫
psycho	精神病患者、精神障害者
benefactor	恩人、恩を受けた人
optics	光学、光の学問
fragmentation	断片化、分断
garland	花飾り、栄冠
grid	格子、格子状
sabbath	安息日、休息の日
even out	平らになる、安定する
oracle	神のお告げ、神託
subject to	の支配下にある、によると
corpus	文書資料の集成、文献集積
median	中央の、中心的な
plagiarism	盗用、窃取
quagmire	泥沼、泥の沼
coercion	強制、強要
crack up	大破する、くじける
smirk	にやにや笑う、微笑む
carcass	死骸、遺体
deterioration	悪化、劣化
ark	箱舟、ノアの方舟
ovation	熱烈な歓迎、熱心な歓迎
ailment	病気、疾患
burglary	侵入、進入
jihad	聖戦、宗教的な戦争
laureate	受賞者、授賞者
stud	種馬、繁殖馬
annuity	年金、退職金
keep up with	に遅れず付いていく、ついていく
horde	遊牧民族、移動する民
bravado	虚勢、見せかけ
orphanage	孤児院、孤児の家
surcharge	追加料金、追加費用
stepfather	継父、義父
impunity	免責、免除
give away	無償で配る、暴露する
patrician	貴族、貴人
supremacy	最高、至高
cove	入り江、湾
pulp	果肉、果実の肉
debtor	債務者、借金者
outburst	爆発、爆破
banquet	宴会、祝宴
head out	出発する、去る
decency	良識、良知
protagonist	主人公、主役
snag	突起、隆起
furrow	溝、水路
grow on	成長する、大きくなる
doctorate	博士号、博士の学位
scourge	むち、天罰
midday	正午、真昼
come before	の前に現れる、先立って現れる
tenor	進路、趣旨
probation	試用期間、試験期間
felon	重罪犯人、凶悪犯
hygiene	衛生、清潔
furor	激怒、怒り狂う
pigment	顔料、色素
swagger	いばって歩く、得意げに歩く
what is more	さらに、さらには
blackout	停電、電源断
graveyard	墓地、霊園
recognition	認知、認識
tense	時制、時間体系
outage	停電、電力断
graft	接ぎ木、挿し木
noun	名詞、単語
rodent	齧歯類、小型哺乳類
relapse	再発、再度の発生
lock in	を閉じ込める、囚禁する
conundrum	難問、難題
debacle	総崩れ、崩壊
fall back on	に頼る、信じる
phantom	幻影、幽霊
stagnation	停滞、滞止
jeopardy	危機、窮地
fetus	胎児、胎子
quantum	量子、量子単位
moth	蛾
incarceration	投獄、監獄送り
count on	に頼る、を当てにする
sling	つり縄、吊り縄
predicament	苦境、困難
magistrate	行政長官、行政官
stealth	内密、秘密
borough	自治区、自治体
arthritis	関節炎、関節の炎症
squadron	戦隊、部隊
stir up	をかき混ぜる、刺激する
paramedic	救急救命士、救命士
heyday	全盛期、最盛期
coroner	検死官、法医
lookout	警戒、眺望
pass over	を無視する、通り越す
dearth	欠乏、不足
cut in	切り込む、干渉する
decor	装飾、装飾品
hypertension	高血圧、高血圧症
rationale	理論的根拠、理論的基盤
reflex	反射、反射作用
mounting	取り付け、取り付けること
blast off	発射される、打ち上げられる
renegade	反逆者、反乱者
defamation	名誉毀損、中傷
infringement	侵害、侵犯
pass out	気絶する、出ていく
swoop	急降下する、急落する
roster	当番表、シフト表
biopsy	生体組織検査、生体サンプル検査
burrow	隠れ場所、隠れ家
breadth	幅、横幅
firearm	銃器、火器
foreground	前景、背景
scar	傷跡、傷痕
acquittal	無罪放免、無罪を宣告する
adultery	姦通、不倫
thermometer	温度計、体温計
rampart	城壁、城の壁
sire	雄親、父親
jug	水差し、じょうろ
intolerance	不寛容、偏見
axe	斧、戦斧
larva	幼虫、子虫
statesman	政治家、政府の役人
rendezvous	待ち合わせ、会合
caravan	隊、部隊
thug	刺客、暗殺者
break down	を壊す、解体する
cultivation	栽培、耕作
stronghold	拠点、基地
leash	ひも、くさり
take in	を摂取する、取り入れる
atheism	無神論、神を信じない考え
ransom	身代金、解放金
adjective	形容詞、形容する言葉
fluke	まぐれ当たり
guise	外観、見た目
propensity	傾向、流れ
squeal	悲鳴を上げる
homicide	殺人、人を殺す行為
in use	使用中の、利用している
thyroid	甲状腺、頸部の腺
replace A as B	BとしてAに取って代わる、BとしてAの位置を占める
cache	貯蔵庫、保存場所
due to	のせいで、の理由で
moderation	節度、節制
push through	押し通す、芽が出る
stockpile	備蓄、保存物
flagship	旗艦、主力艦
go back on	を裏切る、約束を破る
hypocrite	偽善者、偽善行為をする人
battalion	大隊、部隊
meteor	流星、流れ星
informant	通報者、情報提供者
retina	網膜、眼の内部の膜
attribute A to B	AをBに寄るものとする、AをBとみなす
soothe	落ち着かせる、安定させる
abduction	拉致、誘拐
cliche	決まり文句、決まった言葉
kinship	親族、家族
respite	一休み、休憩
snarl	唸る
gloom	暗がり、憂鬱
centerpiece	最重要、最も重要
platoon	小隊、部隊
pollen	花粉、植物の粉
inception	始まり、開始
genealogy	系譜、家系
insurgency	反乱、反乱軍
plaster	石膏、ギプス
remorse	後悔、過ちを後悔する
cupboard	食器棚、食器収納
go about	歩き回る、広まる
curator	学芸員、学芸スタッフ
paste	のり、接着剤
show up	姿を現す、姿を表わす
refinery	精製所、精練工場
iceberg	氷山、巨大な氷の塊
savior	救い主、救済者
prostitution	売春、売身
crap	くだらないもの、つまらないもの
hive	ミツバチの巣箱
pediatrician	小児科医、子供の医者
irresistible	抵抗できない、無力な
vain	うぬぼれが強い、自惚れた
sum up	を合計する、集計する
decipher	解読する、暗号を解く
exhort	勧める、推薦する
shitty	くだらない、ばかばかしい
side job	副業、アルバイト
no better than	と変わらない、同等の
instill	注入する、打ち込む
intractable	手に負えない、コントロールできない
negate	無効にする、取り消す
faulty	欠点のある、不完全な
murky	陰気な、暗い
whiff	ほのかな匂い、薄い香り
analogous	類似の、似ている
disgruntled	不満な、不機嫌な
idyllic	のどかな、穏やかな
receptive	受容性のある、受け入れ可能な
take pride in	を誇りにする、自慢する
laud	称賛する、賞賛する
military service	兵役、兵役の義務
perennial	一年中続く、年間を通じて
fraternal	兄弟の、兄妹の関係
overt	明白な、明確な
precocious	早熟の、早く成熟する
hearten	元気づける、励ます
utilization	利用、使用
conjure	唱えて呼ぶ、呼びかける
garnish	飾る、装飾する
existential	実存の、存在する
advise A on B	AにBについて助言する、AにBにアドバイスする
ascribe	のせいにする、責任を転嫁する
vengeance	復讐、報復
brash	せっかちな
goofy	間抜けな、馬鹿げた
implacable	和解しにくい、対立しやすい
poignant	強烈な、極端な
deterrent	抑止する、制止する
just around the corner	目前に来ている、すぐ近く
pertinent	関係がある、関連する
punitive	懲罰的な、罰するような
disband	解散する、ばらばらにする
lofty	高尚な、高潔な
glowing	白熱した、熱狂的な
therein	その中に、内部に
cerebral	脳の、神経の
abet	扇動する、煽る
vanguard	前衛、先駆者
adjoining	隣の、隣接する
eerie	不気味な、気味が悪い
stagnant	停滞している、静止している
contingent	起こりうる、発生可能な
latent	潜在している、隠れている
prescribed	所定の、指定された
staggering	千鳥足の、ふらふらの
as it stands	現状では、今のところでは
daring	大胆な、果敢な
wreckage	残骸、遺骸
flop	ぱったり倒れる、突然倒れる
incite	扇動する、煽る
pursuant	に従って、従い
warhead	弾頭、弾丸
interdisciplinary	学際的な、多分野の
scathing	痛烈な、厳しい
tyrant	暴君、専制君主
astute	鋭い、鋭敏な
on average	平均して、平均する
orbital	軌道の
alias	別名は、別称は
fumble	手探りする、取り損ねる、手間取る
whirlwind	旋風、つむじ風
detach	切り離す、分断する
unjust	不当な、不適切な
textual	本文の、正文の
sleek	なめらかな
amply	広々と、広大に
makeshift	その場しのぎの、仮の
in order	順序通りに、整った、順番通りに
unconventional	型破りな、非凡な
writ	令状、逮捕令
hesitant	ためらった、躊躇した
introspective	内省的な、反省的な
obscene	卑猥な、下劣な
apprehend	捕らえる、捕獲する
gasp	息をのむ
expatriate	自国を離れる、出国する
dim	薄暗い
heterosexual	異性愛の
exult	喜ぶ、うれしく思う
coy	恥ずかしいふりをした、照れくさいふりをした
heady	せっかちな、急かせる
embroil	巻き込む、関与させる
affective	優しい、親切な
keep A out of B	AをBに入れない、AをBに含めない
bipolar	二極ある、二極性がある
bullish	頑固な、固執する
adrift	漂流して、漂う
overblown	誇張された、過大評価された
aforementioned	前述の、先に述べた
come off	から取れる、外れる、取り外す
glean	集める、収集する
abdominal	腹部の、腹の
curt	そっけない、無愛想な
talk over	相談する、議論する
annul	無効にする、無効化する
forlorn	孤独な、寂しい
annex	添付する、別館
tawdry	安っぽい、安易な
terrestrial	地球上の、地上の
whim	気まぐれ、移り気な
celestial	天体の、星座の
rampant	自由奔放な、はびこった、漫然とした
devious	遠回りの、回り道の
quirky	風変わりな、奇抜な
sardonic	冷笑的な、皮肉な
close in	を閉じ込める
corroborate	裏付ける、裏を取る
confess to	を白状する、告白する、自白する
intestinal	腸の、腸管の
brandish	振り回す、使う
forestall	先んずる、先駆ける
forgo	差し控える、遠慮する
canine	犬の、犬用の
bring A in	を持ち込む、持参する
savvy	分かる、理解する
antiquated	時代遅れの、古い
resilient	弾力性のある、柔軟な
audacious	大胆な、勇敢な
austere	厳格な、厳重な
fluorescent	蛍光の、発光する
outstrip	追い越す、先行する
hum	鼻歌を歌う、ブーンと鳴る
whimsical	気まぐれな、移り気な
extol	絶賛する、高く評価する
drizzle	霧雨が降る、細かい雨が降る
vandalism	破壊行為、破壊的な行い
retarded	発達の遅れた、遅滞している
abrupt	突然の、急な
arcane	不可思議な、神秘的な
neural	神経の、神経系の
vile	下劣な、卑猥な
solemn	厳粛な、真剣な
translucent	半透明の、透けて見える
degenerate	退化する、後退する
obliterate	抹消する、消去する
falter	ためらう、躊躇する
in excess	過度に、余分に
brazen	厚かましい、無礼な
fluffy	綿毛の、ふわふわした
faded	色あせた、褪色した
civil rights	公民権、市民権、市民の権利
inundate	水浸しにする、水没させる
meander	蛇行する、曲がりくねる
paid vacation	有給休暇、給与付きの休暇
luxurious	豪華な
putative	推定の、予測の
sanguine	楽天的な、楽観的な
entrench	塹壕に入れる、防御する
deride	あざ笑う、嘲笑する
sort out	分類する、改善する
volatility	揮発性、揮発しやすい
flinch	尻込みする、躊躇する
grow out of	から生じる、生まれる
vindication	弁護、防御、弁明
medical checkup	健康診断、医療診断
diabetic	糖尿病の、高血糖の
incendiary	放火の、火災を引き起こす
be likely to	しそうである、する可能性が高い、ありそうな
deft	器用な、巧妙な
town twinning	姉妹都市提携、友好都市関係
vernacular	固有の、独自の、特有の
adjacent	隣接している、近接する
nominal	名目上の、形式上の
opaque	不透明な、明瞭でない
scrupulous	良心的な、誠実な
nourish	養う、育てる、支える
crappy	安っぽい、安価な
drench	ずぶぬれにする、水浸しにする
overstate	誇張する、過大評価する
narrow down A to B	AをBに限定する、制限する
insidious	陰湿な、卑劣な
lush	青々とした、生い茂った
send out for	お使いに出す、依頼する
devoid	欠けている、不足している
condone	大目に見る、寛大に扱う
arid	乾燥した、乾いている
nimble	機敏な、敏捷な
auditory	聴覚の、聞く力
accrue	発生する、起こる
dearly	心から、真心で
ostensibly	表向きは、外面的に
incompatible	非互換の、不適合な
obsessive	強迫観念のある、妄想的な
prodigious	驚異的な、素晴らしい
fickle	気まぐれな、不安定な
inscribe	刻む、彫る
ambivalent	相反する感情のある、矛盾した感情の
canny	抜け目のない
deplete	枯渇させる、使い尽くす
charred	黒焦げになった、焦げた
disparate	異なる、違う
put A into place	Aを実行する、Aを遂行する
turn away	追い返す、追放する
hideous	恐ろしい、恐怖な
irate	怒った、怒る
capitulate	降伏する、投降する
cull	摘む、間引く、取り除く
limit A to B	AをBに限定する、AをBに制限する
speculative	思索的な、考察的な
vet	獣医、動物医師
frigid	極寒の、極寒地の
push A back	Aを遅らせる、Aを抑制する
flounder	もがく、足掻く
leisurely	のんびりした、ゆったりした
align	揃える、整える
hit the books	猛勉強する、必死に勉強する
affiliated	提携した、連携した
gild	金塗る、金箔を貼る
fit A with B	AにBを備え付ける、AにBを装備する
upheaval	隆起、突起
contemplative	瞑想的な、沈思黙考の
dissipate	散らす、ばらまく
respiratory	呼吸の、呼吸に関する
hasten	急がせる、焦らせる
amidst	の中で、内部で
parking lot	駐車場、停車場
trinity	三位一体
infringe	侵害する、侵犯する
state of the art	最先端の、最先鋭の
wrath	激怒、怒り狂う
dazzling	眩しい
ghastly	恐ろしい、怖い
intimately	親密に、密接に
in particular	特に、特に重要な
genteel	上品な、優雅な
addictive	中毒性の、依存性の
rabid	狂った、狂気の
clinch	折り曲げて留める、折って固定する
malign	有害な、有毒な
quintessential	典型的な、一般的な
loot	戦利品、略奪物
martian	火星の、火星に関する
womb	子宮
admirable	見事な、素晴らしい
acquit	無罪宣告する、無罪を証明する
be laid up	寝込む、寝たきりになる
fret	いらいらする、怒る
count for	の価値がある、価値の高い
fervent	熱烈な、情熱的な
touchy	過敏な、敏感な
file a suit	提訴する、訴訟を提出する、告訴する
humiliating	屈辱的な、恥ずかしい
lavish	気前の良い、寛大な
in development	開発中の、進行中の
disposable	使い捨ての、一回きりの
grope	模索する、探求する
collegiate	大学の、大学に関する
insatiable	強欲な、貪欲な
err	誤る、間違える
futile	無駄な、非効率的な
motley	雑多な、多様な
noteworthy	注目に値する、見逃せない
lunge	突進、急進
brutally	残酷に、無慈悲に
detonate	爆発させる、破裂させる
intrude	侵入する、侵害する
raucous	耳障りな、騒々しい、うるさい
mortify	悔しがらせる、抑制する、嫌がらせる
infest	横行する、はびこる
tuberculosis	結核、肺結核
coronary	冠状動脈の、心臓に関連した
exacerbate	悪化させる、悪くする
horribly	恐ろしく、怖いほど
make it	やり遂げる、たどり着く、成し遂げる
momentarily	瞬時に、一瞬で
loom	ぼんやり現れる、織機、霧の中に
nibble	少しずつ食べる、つまむ
vice versa	反対に、反対もまた、逆に
verification	立証、証明
deserving	値する、価値がある
impromptu	即座に、すぐに
show off	見せびらかす、自慢する
insofar	その範囲で、その限りで
ooze	にじみ出る、漏れ出る
ballistic	弾道の、飛ぶ方向
greasy	脂っこい、油っぽい
crash down	崩れる、台無しになる、崩壊する
engulf	飲み込む、ゴクリと飲む
ceremonial	儀式上の、儀式的な
prodigy	莫大な、巨大な
provisional	暫定的な、仮の
extremist	過激派、極端な
numb	麻痺した、しびれた、無感覚な
expose A to B	AをBにさらす、露出する
wee	ちっぽけな、小さい
worthy	価値のある、貴重な
aggregate	集める、収集する
nightly	夜間の、夜の
overshadow	暗くする、暗にする
application form	申込用紙、申し込みフォーム
eject	追い出す、排除する
warren	飼育場、飼育施設
lurch	よろめき、ふらつき
spooky	不気味な、怖い
apprehensive	心配した、気になる
gear up	準備を整える、ギアを高速に入れる
classy	上品な、優雅な
consummate	完璧な、完全な
esteem	尊重する、敬う
glib	口達者な、話が得意な
in mind	頭に置いて、考慮して、考えに入れる
demur	異議を唱える、反対する
inadvertently	うっかりと、不注意にも
burly	たくましい、強靭な
ragged	ぼろぼろの、古びた
malicious	悪意のある、敵意を持つ
clueless	無知な、知識のない
fetal	胎児の、胎児に関する
rife	流行して、人気がある
depose	免職する、解雇する
indelible	消えない、永続する
proprietary	所有者の、独占的な
impeach	弾劾する、告発する
nod off	眠り込む、眠る、深く眠る
indispensable	欠かせない、必須の
glossy	光沢のある、つややかな
leach	ろ過する
disparage	見下す、軽視する
be critical of	に批判的である、否定的な
glut	満たす、充足させる
sumptuous	贅沢な、豪華な
abrasive	すり減らす、減らす
debase	堕落させる、道を踏み外させる
stunned	驚いた、びっくりした
equitable	公平な、平等な
contraceptive	避妊の、出産を防ぐ
salient	顕著な、明らかな
mend	繕う、修理する
vantage	有利、得する
clandestine	内密の、秘密の
cobble	修繕する、修理する
candid	率直な、正直な
insurgent	暴動を起こした、乱れた
hurtle	急いで行く、急ぐ
optic	目の、視力の、視覚の
serpent	蛇
synthesize	統合する、まとめる
fill out	に必要事項を記入する、記載する
dementia	認知症、記憶障害
garrison	駐屯地、兵士が居住する場所
threaten A with extinction	Aを絶滅の危機にさらす、危機に瀕させる
injunction	差し止め、停止命令
contaminant	汚染物質、環境に害を与える物質
do away with	を廃止する、除く、なくす
quarry	採石場、石を採る場所
from scratch	最初から、初めから、最初から
infusion	注入、注ぎ込む
realtor	不動産業者、土地や建物の売買を仲介する人
benefit from	で利益を得る、儲かる
head off	を回避する、阻止する、避ける
barrage	弾幕、多数の弾丸や意見
defection	離反、背いた
spate	多数、大部分
brethren	義兄弟、誓いで結ばれた兄弟、義弟
clutter	乱雑、無秩序
thump	ゴツンと叩く、強く打つ
civility	礼儀正しさ、マナーの良さ
moss	苔
ordinance	条例、地方自治体が制定する法律
buyout	買占め、大量に買い占める行為
leukemia	白血病、血液のがん
oxide	酸化物、酸と反応した物質
up front	前もって、率直に
pore	細孔、小さい穴
negligence	怠慢、怠ける、やる気がない
loophole	抜け穴、例外や逃げ道
braille	点字、視覚障害者用の読み書きシステム
proliferate	増殖する、数を増やす
tamper	改ざんする、偽装する
lexicon	語彙、言葉の集まり
perjury	偽証、虚偽の証言
diarrhea	下痢、便が液状になる状態
frankly speaking	率直に言うと、はっきりと言って
berth	寝台、寝る場所
perpetrate	犯す、違反する、犯罪を犯す
kick off	始める、追い払う
purport	趣旨、目的、意図
waver	揺らぐ、安定していない、ぐらつく
luncheon	昼食、正午頃に食べる食事
espionage	スパイ活動、情報を秘密裏に収集する活動
genesis	起源、始まり、出発点
janitor	用務員、建物のメンテナンス等を担当する人
alumnus	卒業生、卒業した人
antidote	解毒剤、毒を中和する物質
commandment	命令、指示、指令
wane	欠ける、不足している、欠損している
booty	戦利品、略奪物
abyss	深淵、非常に深いところ、底なし
subvert	覆す、覆い隠す、逆転させる
cynic	皮肉屋、皮肉を言う人
electrode	電極、電流を通す部品
drop by	に立ち寄る、短時間訪れる
sexist	男女差別主義者、男女間で不平等を支持する人
choreographer	振付師、ダンスや動きを設計する人
collusion	共謀、共同で犯罪を行う行為
gradient	勾配、斜面、傾斜
proffer	差し出す、提供する、出す
stutter	口ごもる、話すのをためらう、言葉に詰まる
lore	伝承、口頭や文書で伝えられる習慣や話
as a whole	全体の、すべてを含む、全般的な
culmination	絶頂、最高点、頂点
attrition	消耗、使い果たす、減少
cross over	越えて渡る、超えていく、通り過ぎる
disparity	相違、違い、不一致
combustion	燃焼、火を燃やす、酸化反応
permeate	浸透する、染み込む、広がる
sob	すすり泣く、涙声で泣く
glitch	小さな欠陥、小さい不備
levee	堤防、水害防止のための壁
sanctity	尊厳、威厳、尊重される資質
wreak	浴びせる、たくさんかける、振りかける
wilt	しおれる、萎む、元気をなくす
paralysis	麻痺、感覚、動きの喪失
pass up	逃す、失う、逸する
reprimand	懲戒、罰すること、訓練
die out	廃れる、流行が過ぎる、死に絶える
rapport	信頼関係、信用と信頼に基づく関係
plywood	合板、数枚の板を貼り合わせた材料
apprehension	気遣い、不安、配慮や心配
raider	急襲者、突然攻撃を仕掛ける人
nook	隅、角や端
genus	属、分類や所属
secession	離脱、退出すること
peter	細くなる、狭くなる
relive	追体験する、再び体験する
stand out	目立つ、注目を集める
help out	手伝う、助ける
scurry	せかせか動く、忙しなく動く
reverence	敬意、尊敬、尊重
shortfall	不足、足りないこと
ex-husband	元夫、以前の配偶者
pull down	取り壊す、解体する
preoccupation	没頭、集中すること
luster	光沢、艶、輝き
notation	表記、書き表示すること
patronage	後援、支援、援助
mess up	台無しにする、台無しにして価値や効果を無くす
penetration	貫通、一方から他方まで通過する
proprietor	所有者、何らかの物や権利を持っている人
come through	を通り抜ける、障害などを通過する
sinus	湾曲、曲がっていること
clamor	喧噪、うるさい雑踏や騒音
acronym	頭字語、初めの文字で作られる単語
resonant	共鳴する、感じ合う、同調する
bandit	盗賊、盗みを働く人
at the moment	今のところ、現状、現在点
discontent	不満、満足していない状態
unearth	発掘する、掘り出す、新たに見つけ出す
replenish	補充する、足りないものを追加する
skirmish	小競り合い、小さな争いや戦い
gust	突風、突然の風
wisdom tooth	親知らず
has yet	今のところ、現状、現在点
primate	霊長類、霊長動物
handcuff	手錠、人を拘束する装置
hoof	蹄、馬や牛などの足の一部
revel	楽しむ、何かを心から喜ぶ
out of nowhere	いきなり、突然に、予告なく
citation	引用、他人の言葉や文章を取り上げる
complexion	顔色、肌の色調
tout	うるさく勧誘する、しつこく誘う
fiat	命令、指令や要求
quell	鎮める、落ち着かせる
envoy	使者、代理人や遣使
fodder	飼料、動物のエサ
comptroller	会計監査官、会計をチェックする専門家
speaking of which	と言えば、それについて
excise	物品税、商品にかかる税金
bank account	銀行口座、銀行での預金や取引のアカウント
punctuate	句読点をつける、文章に区切りを入れる
continuum	連続体、途切れることなく続くもの
hand out	配布する、分け与える
diaper	おむつ、おしめ
wear off	擦り切れる、摩耗する、徐々に減る、少なくなる
ferment	発酵体、発酵を引き起こす物質
pleading	嘆願、懇願やお願い
scum	薄皮
puncture	穴を空ける、穴を開ける
fledgling	駆け出し、初心者
patriarch	家長、家族の主
public official	公務員、官僚
mower	芝刈り機
compare A to B	AをBと比べる、AをBと対比する
iteration	反復、繰り返し
paraphrase	言い換え、再表現
revulsion	嫌悪、反感
beacon	のろし、目印、合図
rectangle	長方形、四角形
tarnish	曇らせる、濁らせる
defiance	反抗、反発
blister	水膨れ、水疱
chuckle	含み笑い、ほくそ笑い
sham	見せかけ、仮装
glimmer	かすかな光、微かな光
onslaught	猛攻撃、激しい攻撃
back up	を後援する、後退させる
arson	放火、火をつける
euphemism	婉曲表現、遠回しの表現
overdose	過剰摂取、過食
yawn	欠伸をする、あくびをする
altruism	利他主義、無私無欲
enclave	飛び地、飛地
banter	冗談、笑い話、おどけ
buckle down	精を出す、全力を尽くす、尽力する
endemic	風土病、地域病
asylum	亡命、亡命者、亡命生活
transmit A to B	AをBに伝染させる、移す、感染させる
splice	組み継ぎする、繋ぐ、接合する
emblem	象徴、何かを代表するものや事象
farce	茶番、喜劇
foray	不意打ち、突撃、急襲
bundle	束、一揃い
conflagration	大火災、大規模な火事
compliment	褒め言葉、賞賛、称賛
finesse	巧妙な処理、うまい対処、手腕
fume	臭い煙、臭気、悪臭
squander	浪費する、無駄遣いする、散財する
tame	飼い慣らされた、家畜化された、馴染む
absurdity	不条理、不合理、矛盾
break through	突破する、切り抜ける、乗り越える
smite	強打する、激打する、ぶん殴る
lobe	耳たぶ、耳垂
scribble	落書きする、書き散らす
tangle	もつれさせる、絡ませる、混乱させる
sit by	傍観する、見物する、見守る
integrate A into B	AをBに統合する、AをBに併合する、AをBに結合する
grudge	恨み、怨み
slick	なめらかな
herald	使者、使い、代表者
revile	悪口を言う、中傷する、非難する
ambush	待ち伏せ、待ち構え、伏兵
parity	同等、等価、相当
strew	ばらまく、散布する、拡散する
replace A with B	AをBに置き換える、AをBと交換する、AをBで代用する
bastion	要塞、城塞、砦
deal in	取り扱う、携わる、処理する
complicity	共犯、共謀者、仲間
renounce	放棄する、断念する、諦める
extradition	引き渡し、渡す、提供する
brawl	乱闘、乱打、暴行
clientele	依頼人
reinstate	復帰させる、復元する
grant A to B	BにAを供与する、BにAを提供する
live up to	に従って動く、期待に答える
ascent	上昇、昇格
gorge	峡谷、渓谷
solace	慰め、安堵
stop by	立ち寄る、寄る
knack	コツ
retribution	報復、復讐
sludge	汚泥、泥沼
contingency	不測の事態、突発的な事態
registry	登記、記載
acumen	洞察力、識見
wrangle	口論する、議論する
associate A with B	AとBを関係づける、AとBを連携させる
anarchy	無秩序、混沌
labyrinth	迷宮、迷路
let A go	Aを解雇する、自由にする
smother	窒息させる、息を止める
diffusion	拡散、広がり
blight	疫病、感染症
foyer	休憩室、待合室
subversive	破壊する、壊す
impediment	障害、障害物
pawn	抵当、抵抗
payroll	給与、給料
quirk	変な癖、特異な癖
curfew	門限、帰宅制限
pamper	甘やかす、ひねくれる
stoke	燃料をくべる、火力を増す
at hand	手元に、近い将来
disintegration	崩壊、崩壊状態
impasse	行き詰まり
rendition	演出、舞台監督
persecute	迫害する、圧迫する
bounty	寛大さ
hindsight	後知恵、振り返り
avatar	権化、象徴
brat	小僧、若者
jettison	放棄、断念
taunt	罵倒する、侮辱する
wiggle	ぴくぴく動かす、ひくつかせる
allusion	暗示、示唆
procurement	調達、供給
aberration	逸脱行為、妨害行為
backlash	激しい反発、強い反響
euphoria	陶酔、夢中
end up	最終的に、することになる
eligibility	適格性、妥当性
sewage	下水、排水
dictum	口述、口頭説明
manure	肥料、施肥物
populace	民衆、大衆
distance A from B	AをBから遠ざける、AをBから隔てる
centennial	100年祭、百年祭
stint	切り詰める、節約する
omen	前兆、予兆
teem	群がる、集まる
picket	くい
acknowledgement	承認、認可
straddle	またがる、乗り越える
chasm	裂け目、割れ目
complacency	自己満足、自己陶酔
pedigree	血統、家系
adversity	逆境、困難
believe it or not	信じられるか、そうでないか、信頼できるか
heap	塊
rationality	合理性、合理主義
at random	無作為に、手あたり次第に
blood vessel	血管、動脈
philanthropy	博愛、普遍愛
look into	を研究する、を調査する
cynicism	皮肉、冷嘲
mitigation	緩和、和らげる
morgue	遺体安置所、遺体保管所
pod	さや、刃物の保管用ケース、植物の部分
leave off	脱いだままでいる、着ずにいる、脱衣したまま
alienation	疎外、遠ざける、孤立させる
corporal	伍長、軍曹、下士官
up for	に参加しようとしている、参加しようとしている、加わろうとしている
funk	臆病、怯える、気が小さい
deluge	大洪水、大水害、氾濫
intestine	腸、腸管
match A with B	AをBと適合させる、AをBに合わせる、AをBに調整する
liturgy	典礼、儀式
